X1,X2
Army West Point,Binghamton
Morgan St.,Binghamton
Loyola Maryland,Binghamton
Youngstown St.,Binghamton
Notre Dame,Binghamton
Binghamton,LIU Brooklyn
Michigan,Binghamton
Columbia,Binghamton
Binghamton,New Hampshire
Stony Brook,Binghamton
UMBC,Binghamton
Vermont,Binghamton
UMass Lowell,Binghamton
Binghamton,Maine
Hartford,Binghamton
Albany (NY),Binghamton
Stony Brook,Binghamton
Binghamton,New Hampshire
UMBC,Binghamton
Binghamton,UMass Lowell
Vermont,Binghamton
Hartford,Binghamton
Binghamton,Maine
Albany (NY),Binghamton
Binghamton,Stony Brook
Vermont,Binghamton
Idaho St.,Boise St.
Boise St.,Jackson St.
Creighton,Boise St.
Boise St.,St. Bonaventure
Illinois St.,Boise St.
Drake,Boise St.
Grand Canyon,Boise St.
Boise St.,Alabama St.
Oregon,Boise St.
Loyola Marymount,Boise St.
Boise St.,Pacific
Oregon,Boise St.
Boise St.,Wyoming
Boise St.,San Diego St.
Boise St.,San Jose St.
Nevada,Boise St.
Fresno St.,Boise St.
Air Force,Boise St.
Boise St.,Wyoming
Boise St.,Colorado St.
Nevada,Boise St.
UNLV,Boise St.
Boise St.,San Jose St.
Fresno St.,Boise St.
San Diego St.,Boise St.
Utah St.,Boise St.
Colorado St.,Boise St.
UNLV,Boise St.
New Mexico,Boise St.
Boise St.,Air Force
Boise St.,Colorado St.
Nevada,Boise St.
Boston College,Milwaukee
Boston College,St. Francis Brooklyn
IUPUI,Boston College
Boston College,Wyoming
Boston College,Loyola Chicago
Boston College,Minnesota
Boston College,Sacred Heart
Providence,Boston College
Boston College,Columbia
Boston College,Fairfield
Boston College,DePaul
Hartford,Boston College
Virginia Tech,Boston College
Virginia,Boston College
Notre Dame,Boston College
Louisville,Boston College
Boston College,Florida St.
Boston College,Wake Forest
Syracuse,Boston College
Notre Dame,Boston College
Duke,Boston College
Syracuse,Boston College
Boston College,Pittsburgh
Boston College,Miami (FL)
NC State,Boston College
Clemson,Boston College
Boston College,Louisville
Georgia Tech,Boston College
North Carolina,Boston College
NC State,Boston College
Pittsburgh,Boston College
Boston U.,Northeastern
Vermont,Boston U.
Boston U.,Albany (NY)
Eastern Mich.,Boston U.
Drexel,Boston U.
Rutgers,Boston U.
Boston U.,New Hampshire
Boston U.,Elon
Boston U.,UMass Lowell
Dartmouth,Boston U.
Boston U.,Nicholls St.
Bethune-Cookman,Boston U.
American,Boston U.
Boston U.,Bucknell
Army West Point,Boston U.
Boston U.,Navy
Loyola Maryland,Boston U.
Colgate,Boston U.
American,Boston U.
Lehigh,Boston U.
Boston U.,Holy Cross
Boston U.,Colgate
Lafayette,Boston U.
Bucknell,Boston U.
Army West Point,Boston U.
Lehigh,Boston U.
Boston U.,Holy Cross
Boston U.,Loyola Maryland
Boston U.,Lafayette
Navy,Boston U.
Boston U.,Loyola Maryland
Colgate,Boston U.
St. John's (NY),Bowling Green
VCU,Bowling Green
Bowling Green,N.C. Central
Bowling Green,Hampton
Detroit Mercy,Bowling Green
Bowling Green,Drexel
Hartford,Bowling Green
Cleveland St.,Bowling Green
Bowling Green,Green Bay
Bowling Green,Western Caro.
Bowling Green,UT Martin
Bowling Green,Kent St.
Bowling Green,Ohio
Bowling Green,Central Mich.
Bowling Green,Ball St.
Bowling Green,Western Mich.
Bowling Green,Eastern Mich.
Miami (OH),Bowling Green
Bowling Green,Buffalo
Bowling Green,Western Mich.
Toledo,Bowling Green
Bowling Green,Central Mich.
Bowling Green,Northern Ill.
Bowling Green,Akron
Ohio,Bowling Green
Miami (OH),Bowling Green
Bowling Green,Kent St.
Akron,Bowling Green
Buffalo,Bowling Green
Bowling Green,Ball St.
Bowling Green,Northern Ill.
Buffalo,Bowling Green
Bradley,Southeast Mo. St.
Bradley,Jacksonville St.
UIC,Bradley
Bradley,SMU
Bradley,Penn St.
Bradley,Chicago St.
IUPUI,Bradley
New Mexico,Bradley
Bradley,Little Rock
Eastern Ill.,Bradley
Ga. Southern,Bradley
Bradley,Southeastern La.
UNI,Bradley
Indiana St.,Bradley
Valparaiso,Bradley
Missouri St.,Bradley
Drake,Bradley
Bradley,Southern Ill.
Bradley,Illinois St.
Missouri St.,Bradley
Bradley,Evansville
Southern Ill.,Bradley
Bradley,UNI
Bradley,Indiana St.
Bradley,Loyola Chicago
Bradley,Illinois St.
Drake,Bradley
Bradley,Evansville
Bradley,Valparaiso
Loyola Chicago,Bradley
Bradley,Missouri St.
Bradley,Loyola Chicago
Bradley,UNI
LIU Brooklyn,Brown
NJIT,Brown
Brown,UMass Lowell
Brown,Sacred Heart
Brown,Army West Point
Brown,Bryant
Rhode Island,Brown
Brown,Navy
Butler,Brown
Brown,Stony Brook
Brown,Marist
Brown,San Diego St.
Brown,Maine
Brown,Canisius
Yale,Brown
Yale,Brown
Brown,Dartmouth
Harvard,Brown
Penn,Brown
Brown,Princeton
Cornell,Brown
Brown,Columbia
Brown,Harvard
Brown,Dartmouth
Columbia,Brown
Brown,Cornell
Brown,Princeton
Penn,Brown
Rhode Island,Bryant
Seattle U,Bryant
Bryant,Saint Peter's
Navy,Bryant
Brown,Bryant
